"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.19.14","188.166.154.118","TCP","66","62179  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"2","0.183655","188.166.154.118","10.0.19.14","TCP","66","80  >  62179 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1388 SACK_PERM=1 WS=128"
"3","0.183794","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=1 Ack=1 Win=131840 Len=0"
"4","0.186751","10.0.19.14","188.166.154.118","HTTP","365","GET / HTTP/1.1 "
"5","0.365907","188.166.154.118","10.0.19.14","TCP","60","80  >  62179 [ACK] Seq=1 Ack=312 Win=64128 Len=0"
"6","0.484243","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=1 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"7","0.493025","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=1389 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"8","0.493089","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=2777 Win=131840 Len=0"
"9","0.675897","188.166.154.118","10.0.19.14","TCP","1442","[TCP Previous segment not captured] 80  >  62179 [ACK] Seq=13881 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"10","0.676020","10.0.19.14","188.166.154.118","TCP","66","[TCP Dup ACK 8#1] 62179  >  80 [ACK] Seq=312 Ack=2777 Win=131840 Len=0 SLE=13881 SRE=15269"
"11","0.679449","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=15269 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"12","0.679565","10.0.19.14","188.166.154.118","TCP","66","[TCP Dup ACK 8#2] 62179  >  80 [ACK] Seq=312 Ack=2777 Win=131840 Len=0 SLE=13881 SRE=16657"
"13","0.682356","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=16657 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"14","0.682425","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=18045 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"15","0.682449","10.0.19.14","188.166.154.118","TCP","66","[TCP Dup ACK 8#3] 62179  >  80 [ACK] Seq=312 Ack=2777 Win=131840 Len=0 SLE=13881 SRE=18045"
"16","0.682562","10.0.19.14","188.166.154.118","TCP","66","[TCP Dup ACK 8#4] 62179  >  80 [ACK] Seq=312 Ack=2777 Win=131840 Len=0 SLE=13881 SRE=19433"
"17","0.873304","188.166.154.118","10.0.19.14","TCP","1442","[TCP Retransmission] 80  >  62179 [ACK] Seq=2777 Ack=312 Win=64128 Len=1388"
"18","0.873380","10.0.19.14","188.166.154.118","TCP","66","62179  >  80 [ACK] Seq=312 Ack=4165 Win=131840 Len=0 SLE=13881 SRE=19433"
