"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.1.6","52.114.74.218","TLSv1.2","111","Application Data"
"2","0.640149971","192.168.1.6","52.114.74.218","TCP","111","[TCP Retransmission] 43845  >  443 [PSH, ACK] Seq=1 Ack=1 Win=501 Len=57"
"3","1.920180400","192.168.1.6","52.114.74.218","TCP","111","[TCP Retransmission] 43845  >  443 [PSH, ACK] Seq=1 Ack=1 Win=501 Len=57"
"4","4.640020293","192.168.1.6","52.114.74.218","TCP","111","[TCP Retransmission] 43845  >  443 [PSH, ACK] Seq=1 Ack=1 Win=501 Len=57"
"5","7.346800630","192.168.1.6","52.114.74.218","TLSv1.2","127","Application Data, Application Data"
"6","7.347652446","192.168.1.6","52.114.74.218","TCP","74","58203  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3758957004 TSecr=0 WS=128"
"7","7.348438823","192.168.1.6","192.168.1.1","DNS","95","Standard query 0x1f7f AAAA trouter2-azsc-euwe-7-b.cloudapp.net"
"8","7.348973888","192.168.1.6","192.168.1.1","DNS","95","Standard query 0x3a64 A trouter2-azsc-euwe-7-b.cloudapp.net"
"9","7.456276676","192.168.1.6","52.112.115.9","TCP","66","59180  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1722774520 TSecr=1740489105"
"10","7.456310427","192.168.1.6","52.112.115.9","TCP","66","59178  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1722774520 TSecr=1743687995"
"11","7.598256586","192.168.1.6","52.114.74.218","TCP","74","45453  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3758957255 TSecr=0 WS=128"
"12","7.652097800","52.112.115.9","192.168.1.6","TCP","66","[TCP ACKed unseen segment] 443  >  59178 [ACK] Seq=1 Ack=2 Win=16385 Len=0 TSval=1743734290 TSecr=1722728423"
"13","7.653693683","52.112.115.9","192.168.1.6","TCP","66","[TCP ACKed unseen segment] 443  >  59180 [ACK] Seq=1 Ack=2 Win=16382 Len=0 TSval=1740535592 TSecr=1722728246"
"14","7.848363475","192.168.1.6","52.114.74.218","TCP","74","35549  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3758957505 TSecr=0 WS=128"
"15","8.098080636","192.168.1.6","52.114.74.218","TCP","74","34919  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3758957755 TSecr=0 WS=128"
"16","8.348138066","192.168.1.6","52.114.74.218","TCP","74","41511  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3758958005 TSecr=0 WS=128"
"17","8.352158555","192.168.1.6","52.114.74.218","TCP","74","[TCP Retransmission] 58203  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3758958009 TSecr=0 WS=128"
"18","8.598244844","192.168.1.6","52.114.74.218","TCP","74","57279  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3758958255 TSecr=0 WS=128"
"19","8.611971778","192.168.1.6","52.114.74.218","TCP","74","[TCP Retransmission] 45453  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3758958269 TSecr=0 WS=128"
